Season,Week,Home Team,Home Score,Away Team,Away Score,Neutral Site
2021,0,CSU,21,COLO,24,FALSE
2021,0,ECU,14,ARK,22,FALSE
2021,0,MICH,27,ND,10,FALSE
2021,0,MIST,17,ARMY,10,FALSE
2021,0,NEB,7,KSST,15,FALSE
2021,0,ODU,56,UCLA,33,FALSE
2021,0,TXST,20,BAYL,27,FALSE
2021,0,UVA,16,UKEN,21,FALSE
2021,0,WAST,16,WVU,14,FALSE
2021,0,WMU,40,CLEM,0,FALSE
2021,1,AKRN,24,IOWA,27,FALSE
2021,1,APST,21,CHAR,3,FALSE
2021,1,ARMY,20,USC,24,FALSE
2021,1,ARST,10,WAKE,14,FALSE
2021,1,AZST,27,UNLV,7,FALSE
2021,1,BALL,10,CAL,26,FALSE
2021,1,BAMA,23,UTAH,10,FALSE
2021,1,BC,37,SOCA,24,FALSE
2021,1,BGSU,7,OHST,20,FALSE
2021,1,CMU,21,NCST,24,FALSE
2021,1,CONN,7,VT,24,FALSE
2021,1,CUSE,3,TENN,31,FALSE
2021,1,EMU,13,ULM,10,FALSE
2021,1,FAU,42,GAST,19,FALSE
2021,1,FIU,12,TROY,23,FALSE
2021,1,FLA,6,UCF,10,FALSE
2021,1,FRES,19,IAST,0,FALSE
2021,1,GASO,7,MRSH,16,FALSE
2021,1,HAWI,0,TAMU,45,FALSE
2021,1,ILLI,16,MISS,14,FALSE
2021,1,KENT,20,IND,10,FALSE
2021,1,LT,13,ULL,0,FALSE
2021,1,LU,0,CCU,14,FALSE
2021,1,MASS,16,BUFF,17,FALSE
2021,1,MICH,16,BOIS,10,FALSE
2021,1,MIZZ,30,UNC,17,FALSE
2021,1,MTSU,7,MEMP,14,FALSE
2021,1,ND,6,FSU,40,FALSE
2021,1,NW,3,NIU,21,FALSE
2021,1,OHIO,27,MIAF,3,FALSE
2021,1,OKLA,35,AUB,23,FALSE
2021,1,OREG,24,PURD,30,FALSE
2021,1,TEMP,23,RUTG,0,FALSE
2021,1,TEX,47,BYU,34,FALSE
2021,1,TLDO,9,TCU,30,FALSE
2021,1,TLNE,27,NEV,12,FALSE
2021,1,UGA,24,DUKE,33,FALSE
2021,1,UHOU,24,KANS,20,FALSE
2021,1,UNM,10,TULS,27,FALSE
2021,1,UNT,24,SMU,10,FALSE
2021,1,USA,17,UAB,20,FALSE
2021,1,USF,13,PITT,6,FALSE
2021,1,USM,7,MSST,9,FALSE
2021,1,UTEP,17,SDSU,45,FALSE
2021,1,UTST,19,NMSU,13,FALSE
2021,1,VAND,0,RICE,45,FALSE
2021,1,WASH,31,PNST,7,FALSE
2021,1,WISC,20,TTU,17,FALSE
2021,1,WKU,10,MIAO,19,FALSE
2021,1,WYOM,20,UTSA,7,FALSE
2021,1,ZONA,34,LSU,27,FALSE
2021,2,ARK,3,UVA,34,FALSE
2021,2,BGSU,19,NEV,10,FALSE
2021,2,BOIS,14,UGA,3,FALSE
2021,2,CAL,28,ODU,17,FALSE
2021,2,CCU,0,AKRN,16,FALSE
2021,2,COLO,10,UNC,38,FALSE
2021,2,CONN,0,APST,30,FALSE
2021,2,CSU,24,CUSE,10,FALSE
2021,2,ECU,12,CMU,17,FALSE
2021,2,FLA,19,EMU,6,FALSE
2021,2,GASO,26,FIU,3,FALSE
2021,2,GAST,17,CHAR,7,FALSE
2021,2,IOWA,13,WYOM,3,FALSE
2021,2,KANS,27,BALL,24,FALSE
2021,2,LOU,6,MASS,16,FALSE
2021,2,LT,21,BC,24,FALSE
2021,2,MEMP,21,TENN,51,FALSE
2021,2,MIAO,20,MISS,7,FALSE
2021,2,MINN,13,BAMA,10,FALSE
2021,2,MIZZ,17,STAN,13,FALSE
2021,2,MRSH,34,WVU,14,FALSE
2021,2,MSST,25,IAST,29,FALSE
2021,2,MTSU,27,ARST,17,FALSE
2021,2,NCST,26,BYU,6,FALSE
2021,2,NEB,24,MIAF,30,FALSE
2021,2,NIU,10,WISC,7,FALSE
2021,2,OHST,7,TAMU,26,FALSE
2021,2,OKST,7,FSU,33,FALSE
2021,2,OREG,6,UMD,7,FALSE
2021,2,PITT,17,TEMP,7,FALSE
2021,2,PURD,35,ND,31,FALSE
2021,2,RICE,30,TEX,31,FALSE
2021,2,SDSU,26,TULS,32,FALSE
2021,2,SJSU,13,ORST,12,FALSE
2021,2,SMU,13,BAYL,12,FALSE
2021,2,TCU,13,DUKE,24,FALSE
2021,2,TROY,16,WAKE,14,FALSE
2021,2,TTU,9,MIST,19,FALSE
2021,2,TXST,56,UHOU,13,FALSE
2021,2,UAB,17,BUFF,14,FALSE
2021,2,UCF,30,WMU,28,FALSE
2021,2,UCLA,3,TLDO,12,FALSE
2021,2,UKEN,37,HAWI,7,FALSE
2021,2,ULL,7,KENT,10,FALSE
2021,2,ULM,13,LSU,27,FALSE
2021,2,UNLV,21,UNT,34,FALSE
2021,2,USA,14,AUB,12,FALSE
2021,2,USAF,16,ARMY,7,FALSE
2021,2,USC,31,CLEM,43,FALSE
2021,2,USF,14,FAU,33,FALSE
2021,2,UTAH,21,TLNE,49,FALSE
2021,2,UTEP,14,NMSU,28,FALSE
2021,2,UTSA,24,FRES,32,FALSE
2021,2,UTST,3,WASH,31,FALSE
2021,2,VAND,7,CINC,24,FALSE
2021,2,VT,0,LU,13,FALSE
2021,2,WAST,10,PNST,17,FALSE
2021,2,ZONA,20,GT,9,FALSE
2021,3,APST,33,EMU,23,FALSE
2021,3,ARK,7,MRSH,10,FALSE
2021,3,ARST,10,WKU,7,FALSE
2021,3,AUB,28,UAB,23,FALSE
2021,3,BALL,7,PURD,29,FALSE
2021,3,BUFF,13,BC,31,FALSE
2021,3,CCU,9,LOU,20,FALSE
2021,3,CHAR,17,TLDO,13,FALSE
2021,3,CINC,13,BGSU,10,FALSE
2021,3,CMU,3,OKLA,24,FALSE
2021,3,COLO,14,CUSE,23,FALSE
2021,3,DUKE,31,NW,23,FALSE
2021,3,FRES,9,OREG,31,FALSE
2021,3,IOWA,21,IAST,7,FALSE
2021,3,KENT,7,USM,9,FALSE
2021,3,KSST,27,MIAF,24,FALSE
2021,3,LSU,7,UHOU,6,FALSE
2021,3,MEMP,35,MICH,27,FALSE
2021,3,MIAO,3,MSST,16,FALSE
2021,3,MISS,3,IND,17,FALSE
2021,3,MTSU,17,NCST,6,FALSE
2021,3,NAVY,20,SDSU,37,FALSE
2021,3,NEV,16,USF,10,FALSE
2021,3,NIU,3,UTSA,24,FALSE
2021,3,ND,7,VT,3,FALSE
2021,3,NMSU,7,TEX,29,FALSE
2021,3,OHIO,55,NEB,0,FALSE
2021,3,OHST,21,GT,13,FALSE
2021,3,OKST,16,BAMA,36,FALSE
2021,3,PITT,21,MIZZ,3,FALSE
2021,3,PNST,13,BOIS,3,FALSE
2021,3,RICE,35,SJSU,21,FALSE
2021,3,RUTG,7,MASS,13,FALSE
2021,3,TAMU,17,FSU,39,FALSE
2021,3,TCU,7,TXST,26,FALSE
2021,3,TEMP,9,VAND,3,FALSE
2021,3,TLNE,24,UNT,16,FALSE
2021,3,TROY,38,FAU,20,FALSE
2021,3,TTU,10,UNLV,16,FALSE
2021,3,TULS,41,ARMY,0,FALSE
2021,3,UCF,24,CONN,0,FALSE
2021,3,UGA,17,STAN,45,FALSE
2021,3,ULM,19,LT,6,FALSE
2021,3,UMD,38,TENN,21,FALSE
2021,3,USAF,26,WISC,28,FALSE
2021,3,UTAH,20,BYU,13,FALSE
2021,3,UTEP,7,UNM,20,FALSE
2021,3,UVA,31,LU,0,FALSE
2021,3,WAKE,0,SOCA,28,FALSE
2021,3,WASH,7,CSU,13,FALSE
2021,3,WAST,16,BAYL,31,FALSE
2021,3,WMU,13,UCLA,35,FALSE
2021,3,WYOM,21,ORST,24,FALSE
2021,4,AKRN,38,ULL,17,FALSE
2021,4,APST,47,GAST,17,FALSE
2021,4,ARK,17,TAMU,31,FALSE
2021,4,ARMY,42,VAND,17,FALSE
2021,4,AUB,19,LSU,10,FALSE
2021,4,BAMA,21,FLA,6,FALSE
2021,4,BGSU,21,KENT,24,FALSE
2021,4,BOIS,30,UTST,31,FALSE
2021,4,BYU,16,UTEP,13,FALSE
2021,4,CCU,13,ARST,10,FALSE
2021,4,CHAR,7,FIU,20,FALSE
2021,4,CMU,17,MIAO,3,FALSE
2021,4,COLO,19,AZST,17,FALSE
2021,4,CUSE,10,LOU,13,FALSE
2021,4,DUKE,24,GASO,28,FALSE
2021,4,ECU,23,UCF,13,FALSE
2021,4,EMU,14,NIU,3,FALSE
2021,4,FAU,14,UAB,23,FALSE
2021,4,FRES,6,WYOM,10,FALSE
2021,4,FSU,34,WAKE,24,FALSE
2021,4,GT,24,CLEM,7,FALSE
2021,4,IND,17,IOWA,7,FALSE
2021,4,KANS,20,IAST,17,FALSE
2021,4,LU,0,CONN,21,FALSE
2021,4,MEMP,23,TULS,31,FALSE
2021,4,MIST,3,NW,7,FALSE
2021,4,MIZZ,17,UKEN,26,FALSE
2021,4,MRSH,31,MTSU,17,FALSE
2021,4,MSST,26,MISS,14,FALSE
2021,4,NCST,14,BC,41,FALSE
2021,4,NMSU,10,UNM,37,FALSE
2021,4,ODU,37,BALL,28,FALSE
2021,4,OHST,20,MINN,21,FALSE
2021,4,PNST,13,WISC,24,FALSE
2021,4,PURD,38,NEB,17,FALSE
2021,4,RUTG,13,MICH,38,FALSE
2021,4,SDSU,34,HAWI,7,FALSE
2021,4,SJSU,0,CSU,13,FALSE
2021,4,SOCA,31,TENN,20,FALSE
2021,4,STAN,14,USC,13,FALSE
2021,4,TCU,20,OKLA,7,FALSE
2021,4,TEMP,3,CINC,0,FALSE
2021,4,TEX,20,BAYL,30,FALSE
2021,4,TLNE,0,SMU,16,FALSE
2021,4,TROY,31,ULM,17,FALSE
2021,4,UCLA,10,ZONA,35,FALSE
2021,4,UHOU,17,USF,10,FALSE
2021,4,UMD,7,ILLI,42,FALSE
2021,4,UNC,9,VT,7,FALSE
2021,4,UNLV,31,NEV,6,FALSE
2021,4,UNT,27,LT,14,FALSE
2021,4,USA,10,TXST,37,FALSE
2021,4,USAF,3,NAVY,16,FALSE
2021,4,USM,21,RICE,10,FALSE
2021,4,UTSA,7,WKU,23,FALSE
2021,4,UVA,49,MIAF,13,FALSE
2021,4,WASH,3,CAL,26,FALSE
2021,4,WAST,27,UTAH,34,FALSE
2021,4,WMU,22,BUFF,24,FALSE
2021,4,WVU,6,KSST,34,FALSE
2021,5,APST,21,ULL,3,FALSE
2021,5,ARST,21,GASO,17,FALSE
2021,5,AUB,38,NIU,3,FALSE
2021,5,AZST,28,UTAH,24,FALSE
2021,5,BALL,9,WMU,34,FALSE
2021,5,BUFF,24,KENT,20,FALSE
2021,5,BYU,6,WYOM,14,FALSE
2021,5,CAL,16,OREG,23,FALSE
2021,5,CCU,17,USA,9,FALSE
2021,5,CLEM,10,NCST,20,FALSE
2021,5,CONN,0,TEMP,24,FALSE
2021,5,CSU,13,UNM,30,FALSE
2021,5,GAST,24,ULM,0,FALSE
2021,5,ILLI,47,MINN,13,FALSE
2021,5,IND,16,PNST,24,FALSE
2021,5,IOWA,13,UMD,6,FALSE
2021,5,KSST,24,OKST,28,FALSE
2021,5,LOU,23,FSU,29,FALSE
2021,5,LU,7,FAU,13,FALSE
2021,5,MASS,16,MEMP,14,FALSE
2021,5,MIAF,31,DUKE,35,FALSE
2021,5,MIAO,30,EMU,20,FALSE
2021,5,MICH,20,WISC,38,FALSE
2021,5,MISS,3,BAMA,24,FALSE
2021,5,MSST,31,ARK,13,FALSE
2021,5,MTSU,28,CHAR,30,FALSE
2021,5,NAVY,6,ND,13,FALSE
