year,week,ats_accuracy,ats_correct,su_accuracy,su_correct,total_games,cors_version
1897,3,75.0,3,75.0,3,4,v0.4.0
1897,4,87.5,7,75.0,6,8,v0.4.0
1897,5,50.0,5,100.0,10,10,v0.4.0
1897,6,83.3,5,83.3,5,6,v0.4.0
1897,7,85.7,12,85.7,12,14,v0.4.0
1897,8,63.6,7,81.8,9,11,v0.4.0
1897,9,62.5,5,100.0,8,8,v0.4.0
1897,10,55.6,5,55.6,5,9,v0.4.0
1897,11,87.5,7,75.0,6,8,v0.4.0
1898,3,75.0,3,75.0,3,4,v0.4.0
1898,4,85.7,6,100.0,7,7,v0.4.0
1898,5,72.7,8,81.8,9,11,v0.4.0
1898,6,60.0,6,80.0,8,10,v0.4.0
1898,7,81.8,9,90.9,10,11,v0.4.0
1898,8,50.0,6,91.7,11,12,v0.4.0
1898,9,70.0,7,50.0,5,10,v0.4.0
1898,10,54.5,6,72.7,8,11,v0.4.0
1898,11,50.0,3,50.0,3,6,v0.4.0
1898,12,75.0,6,37.5,3,8,v0.4.0
1899,3,100.0,2,100.0,2,2,v0.4.0
1899,4,62.5,5,50.0,4,8,v0.4.0
1899,5,75.0,12,87.5,14,16,v0.4.0
1899,6,64.3,9,71.4,10,14,v0.4.0
1899,7,75.0,15,70.0,14,20,v0.4.0
1899,8,60.0,9,73.3,11,15,v0.4.0
1899,9,58.3,7,83.3,10,12,v0.4.0
1899,10,50.0,7,64.3,9,14,v0.4.0
1899,11,64.3,9,64.3,9,14,v0.4.0
1899,12,33.3,3,55.6,5,9,v0.4.0
1899,13,72.7,8,72.7,8,11,v0.4.0
1899,14,0.0,0,100.0,1,1,v0.4.0
1900,2,100.0,1,100.0,1,1,v0.4.0
1900,3,85.7,6,100.0,7,7,v0.4.0
1900,4,66.7,8,83.3,10,12,v0.4.0
1900,5,82.4,14,76.5,13,17,v0.4.0
1900,6,53.3,8,73.3,11,15,v0.4.0
1900,7,73.3,11,73.3,11,15,v0.4.0
1900,8,43.8,7,68.8,11,16,v0.4.0
1900,9,73.3,11,73.3,11,15,v0.4.0
1900,10,57.1,8,64.3,9,14,v0.4.0
1900,11,75.0,6,75.0,6,8,v0.4.0
1900,12,54.5,6,54.5,6,11,v0.4.0
1901,2,71.4,5,85.7,6,7,v0.4.0
1901,3,45.5,5,90.9,10,11,v0.4.0
1901,4,57.9,11,84.2,16,19,v0.4.0
1901,5,55.6,10,88.9,16,18,v0.4.0
1901,6,52.6,10,63.2,12,19,v0.4.0
1901,7,57.1,8,64.3,9,14,v0.4.0
1901,8,56.2,9,81.2,13,16,v0.4.0
1901,9,58.8,10,88.2,15,17,v0.4.0
1901,10,53.8,7,69.2,9,13,v0.4.0
1902,2,0.0,0,100.0,1,1,v0.4.0
1902,3,80.0,4,80.0,4,5,v0.4.0
1902,4,61.1,11,61.1,11,18,v0.4.0
1902,5,70.8,17,75.0,18,24,v0.4.0
1902,6,69.2,18,61.5,16,26,v0.4.0
1902,7,46.4,13,60.7,17,28,v0.4.0
1902,8,76.0,19,80.0,20,25,v0.4.0
1902,9,61.5,16,65.4,17,26,v0.4.0
1902,10,41.4,12,62.1,18,29,v0.4.0
1902,11,40.0,6,66.7,10,15,v0.4.0
1903,2,100.0,2,100.0,2,2,v0.4.0
1903,3,87.5,7,75.0,6,8,v0.4.0
1903,4,68.8,11,81.2,13,16,v0.4.0
1903,5,48.0,12,84.0,21,25,v0.4.0
1903,6,50.0,15,66.7,20,30,v0.4.0
1903,7,64.0,16,44.0,11,25,v0.4.0
1903,8,43.5,10,69.6,16,23,v0.4.0
1903,9,56.5,13,60.9,14,23,v0.4.0
1903,10,31.8,7,59.1,13,22,v0.4.0
1903,11,42.9,6,78.6,11,14,v0.4.0
1903,12,40.9,9,59.1,13,22,v0.4.0
1904,1,0.0,0,0.0,0,0,v0.4.0
1904,2,33.3,1,33.3,1,3,v0.4.0
1904,3,70.4,19,59.3,16,27,v0.4.0
1904,4,71.4,20,75.0,21,28,v0.4.0
1904,5,52.9,18,76.5,26,34,v0.4.0
1904,6,68.0,17,84.0,21,25,v0.4.0
1904,7,37.0,10,70.4,19,27,v0.4.0
1904,8,82.8,24,69.0,20,29,v0.4.0
1904,9,78.1,25,75.0,24,32,v0.4.0
1904,10,56.2,9,87.5,14,16,v0.4.0
1904,11,70.0,14,65.0,13,20,v0.4.0
1905,2,40.0,2,100.0,5,5,v0.4.0
1905,3,85.7,12,71.4,10,14,v0.4.0
1905,4,69.2,18,69.2,18,26,v0.4.0
1905,5,67.9,19,67.9,19,28,v0.4.0
1905,6,54.8,17,74.2,23,31,v0.4.0
1905,7,59.3,16,74.1,20,27,v0.4.0
1905,8,61.5,16,73.1,19,26,v0.4.0
1905,9,76.0,19,64.0,16,25,v0.4.0
1905,10,74.1,20,70.4,19,27,v0.4.0
1905,11,66.7,12,77.8,14,18,v0.4.0
1906,1,0.0,0,100.0,3,3,v0.4.0
1906,2,50.0,3,50.0,3,6,v0.4.0
1906,3,54.5,6,63.6,7,11,v0.4.0
1906,4,47.1,8,82.4,14,17,v0.4.0
1906,5,56.2,9,62.5,10,16,v0.4.0
1906,6,68.4,13,57.9,11,19,v0.4.0
1906,7,45.5,10,59.1,13,22,v0.4.0
1906,8,35.3,6,82.4,14,17,v0.4.0
1906,9,47.6,10,66.7,14,21,v0.4.0
1906,10,43.8,7,75.0,12,16,v0.4.0
1906,11,50.0,7,64.3,9,14,v0.4.0
1907,2,40.0,2,80.0,4,5,v0.4.0
1907,3,66.7,8,50.0,6,12,v0.4.0
1907,4,70.0,14,80.0,16,20,v0.4.0
1907,5,50.0,9,55.6,10,18,v0.4.0
1907,6,54.2,13,50.0,12,24,v0.4.0
1907,7,45.8,11,75.0,18,24,v0.4.0
1907,8,56.0,14,64.0,16,25,v0.4.0
1907,9,60.0,12,75.0,15,20,v0.4.0
1907,10,46.2,6,53.8,7,13,v0.4.0
1907,11,81.2,13,50.0,8,16,v0.4.0
1908,2,50.0,1,100.0,2,2,v0.4.0
1908,3,66.7,6,77.8,7,9,v0.4.0
1908,4,42.9,6,42.9,6,14,v0.4.0
1908,5,57.9,11,84.2,16,19,v0.4.0
1908,6,64.7,11,76.5,13,17,v0.4.0
1908,7,47.4,9,47.4,9,19,v0.4.0
1908,8,66.7,16,70.8,17,24,v0.4.0
1908,9,45.8,11,54.2,13,24,v0.4.0
1908,10,44.4,8,66.7,12,18,v0.4.0
1908,11,63.6,14,63.6,14,22,v0.4.0
1909,2,0.0,0,100.0,1,1,v0.4.0
1909,3,91.7,11,83.3,10,12,v0.4.0
1909,4,76.9,10,100.0,13,13,v0.4.0
1909,5,43.5,10,65.2,15,23,v0.4.0
1909,6,44.0,11,60.0,15,25,v0.4.0
1909,7,63.2,12,73.7,14,19,v0.4.0
1909,8,45.8,11,66.7,16,24,v0.4.0
1909,9,45.8,11,54.2,13,24,v0.4.0
1909,10,27.8,5,61.1,11,18,v0.4.0
1909,11,45.0,9,75.0,15,20,v0.4.0
1910,2,100.0,1,100.0,1,1,v0.4.0
1910,3,75.0,3,75.0,3,4,v0.4.0
1910,4,75.0,12,68.8,11,16,v0.4.0
1910,5,54.5,12,72.7,16,22,v0.4.0
1910,6,72.0,18,60.0,15,25,v0.4.0
1910,7,58.3,14,70.8,17,24,v0.4.0
1910,8,40.9,9,54.5,12,22,v0.4.0
1910,9,50.0,13,69.2,18,26,v0.4.0
1910,10,47.4,9,73.7,14,19,v0.4.0
1910,11,66.7,16,83.3,20,24,v0.4.0
1911,2,50.0,2,100.0,4,4,v0.4.0
1911,3,83.3,10,66.7,8,12,v0.4.0
1911,4,62.5,10,56.2,9,16,v0.4.0
1911,5,65.2,15,60.9,14,23,v0.4.0
1911,6,60.0,15,76.0,19,25,v0.4.0
1911,7,41.7,10,62.5,15,24,v0.4.0
1911,8,60.9,14,65.2,15,23,v0.4.0
1911,9,48.1,13,66.7,18,27,v0.4.0
1911,10,23.1,3,30.8,4,13,v0.4.0
1911,11,72.2,13,77.8,14,18,v0.4.0
1911,12,100.0,1,100.0,1,1,v0.4.0
1912,1,100.0,1,100.0,1,1,v0.4.0
1912,2,0.0,0,0.0,0,1,v0.4.0
1912,3,68.8,11,37.5,6,16,v0.4.0
1912,4,66.7,14,81.0,17,21,v0.4.0
